"ID";"Bezeichner";"Footprint";"Stückzahl";"Bezeichnung";"Anbieter und Referenz";
1;"R5";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"39k";;;
2;"U2,U1";"DIP-8_W7.62mm_Socket";2;"NE555P";;;
3;"C5,C7";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";2;"10n";;;
4;"D1,D2";"D_1206_3216Metric_Pad1.42x1.75mm_HandSolder";2;"Rot";;;
5;"C6";"CP_Elec_4x5.4";1;"22u";;;
6;"J2";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02_Pin";;;
7;"R4,R3";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";2;"330";;;
8;"J1";"PinSocket_1x02_P2.54mm_Vertical";1;"Conn_01x02_Socket";;;
9;"C1";"CP_Elec_5x5.4";1;"10u";;;
10;"C2,C3";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";2;"100n";;;
11;"C4";"CP_Elec_6.3x7.7";1;"100u";;;
12;"R2";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"15k";;;
13;"R1";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"1k";;;
